run_id,coating_gap,position,frame_number,defect_ratio,moving_average,ewma,ucl,center,label_crack,label_delam,label_pinhole
R1,600,top-to-bottom-center,603,0.1714,0.2686,0.2744,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,603,0.6286,0.2952,0.3452,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,603,0.3857,0.3143,0.3533,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,611,0.8286,0.3505,0.4484,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,611,0.1714,0.3438,0.393,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,611,0.2714,0.3505,0.3687,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,611,0.9,0.4019,0.4749,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,611,0.3429,0.4048,0.4485,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,611,0.1143,0.3952,0.3817,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,611,0.9286,0.4381,0.4911,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,611,0.3857,0.4286,0.47,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,622,0.2571,0.4124,0.4274,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,622,0.8714,0.4562,0.5162,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,622,0.3429,0.4505,0.4815,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,622,0.9429,0.5029,0.5738,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,622,0.3286,0.5133,0.5248,0.1752,0.0418,1,0,1
